review,Eng,label,vader_score,vader_compound,textblob_score
中庭聲音太大聲，在室內都無法睡,The atrium is too loud to sleep in the room,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.1
它的最豪華的  我們在這裏住了3天就住在那裏。 是個完美的地方和工作人員很棒。 這真的是一次奇妙的經歷！  我建議一定要給大家！  價格在正常水平和他們提供的食物！,It's the most luxurious. We stayed here for 3 days. It is a perfect place and the staff is great. This is really a wonderful experience! I suggest to everyone! Prices are at normal levels and the food they provide!,1,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.9281}",0.9281,0.6975
床單如果能多準備幾條就好啦。,It would be nice if we could prepare more sheets.,0,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}",0.4215,0.55
"MAGNIFICEIENT酒店和工作人員  作爲一對夫婦在404房間5月29日 2017 5月22日住到4層上可以俯瞰大海的全景套房。  在到達酒店的門廳很快就注意你d cor和周圍環境的質量。 登記入住的過程很順利還有專門的工作人員都非常細心和理解一綫客戶服務的各個方面。  進入房間的時候會遇到一個充滿情感的可以期望你總是比實際更高。 然而,我們大錯特錯了已經,房間就像是在預訂之前看到的照片。 浴室裏有一個獨立的花灑淋浴,裝滿食物的冰箱品牌飲料,還有一個可以看到對面的複雜的朝向大海。  酒店裏提供的食物在照單點菜的餐廳都很棒服務也很好這對我們來說是完美的。 因爲有很多包羅萬象的食物的選擇和質量上我們還很猶豫,但不得不說這個也是無可挑剔的。 要麼是由玻璃或一瓶酒提供通過一個葡萄酒菜單,所有的這一切都由玻璃玻璃可煩人的方法在許多其他酒店也提供全包。  有一個24小時的客房服務不需要額外的費用這樣這樣一個與衆不同的住宿和增強了對這家酒店的整個服務交付。  庭院很乾淨這是由專門的工作人員經常被抵押的友好和親切。 酒店裏的員工是我們遇到過最好的人不知疲倦的工作方法和提供最好的客戶服務支持來此度假的人,沒有什麼是太麻煩的白天或晚上需要什麼東西。  酒店和房間內的無綫網絡是免費的郵件雖然擁有很強的連接的泳池周圍是一個弱但是很好用。 這一切都沒有每天都從中檢索新密碼寫在紙片上的前臺與很多其他的酒店。  因爲還有其他一些不太滿意放在這家酒店的評論,真的需要ikos理解這裏的整體。 酒店提供成人區域只和不是因爲他們讓我們相信只有成人的。 很多其他夫婦被抓到在這種情況下它是在哪裏被認爲是只對成年人開放。  有足夠多的空間和餐館只有成人才能分配給這只能進一步增強整體酒店和參加。","MAGNIFICEIENT hotel and staff As a couple in room 404 May 29, 2017 May 22 stayed on the 4th floor overlooking the panoramic suite. When you arrive at the lobby of the hotel, pay attention to the quality of your d cor and surroundings. The check-in process is smooth and the dedicated staff are very attentive and understand all aspects of front-line customer service. When you enter the room, you will encounter an emotional person who can expect you to always be higher than the actual. However, we were totally wrong, and the room was like the photos we saw before booking. There is a separate rain shower in the bathroom, refrigerator brand drinks filled with food, and a complex facing the sea that can be seen across. The food provided in the hotel is great in the à la carte restaurant and the service is also very good which is perfect for us. Because there are many choices and quality of all-encompassing food, we are still hesitant, but I have to say that this is also impeccable. Either it is provided by glass or a bottle of wine through a wine menu, all of which is annoying by the glass glass method. Many other hotels also offer all-inclusive. There is a 24-hour room service at no additional cost for such a distinctive stay and enhanced delivery of the entire service to this hotel. The courtyard is very clean. It is friendly and kind, often mortgaged by dedicated staff. The staff in the hotel are the tireless working methods of the best people we have ever met and those who provide the best customer service support to come here on vacation, nothing is too much trouble for what is needed during the day or night. The Wi-Fi in the hotel and the room is free of mail. Although the swimming pool with a strong connection is a weak one but it works very well. None of this is retrieved every day from which the new password is written on a piece of paper at the front desk and many other hotels. Because there are some other reviews that are not satisfied with this hotel, I really need ikos to understand the whole place. The hotel offers adult areas only and not because they make us believe that only adults. Many other couples were caught in this case where it is considered to be open to adults only. There is enough space and restaurants that only adults can allocate to this can only further enhance the overall hotel and attend.",1,"{'neg': 0.045, 'neu': 0.837, 'pos': 0.118, 'compound': 0.9895}",0.9895,0.19429924242424235
很棒的航空公司  這是我第一次坐飛機的航空公司會不會是最後一次和這位令人驚歎。 我每分鐘都很享受我們住在這裏的空氣和食物很棒。 我以後一定還會再來的。,Great airline This is my first airline flight. Will this be the last time and this one is amazing. Every minute I enjoy the air and food we live here is great. I will definitely come back later.,1,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9578}",0.9578,0.29863636363636364
很棒的體驗  未知這次航班是否使用了新的機型，我坐國泰以來，第一次遇上這樣舒適寬敞的豪華經濟艙，坐的好舒服，十分驚喜！可惜機上只供應麵包，沒有提供正常餐點，不然我會給滿分！,"Great experience It is unknown whether this flight uses a new model. For the first time since I took Cathay Pacific, I have encountered such a comfortable and spacious luxury economy class. It is a pity that only bread is served on board, and no normal meals are provided, otherwise I will give full marks!",1,"{'neg': 0.07, 'neu': 0.808, 'pos': 0.122, 'compound': 0.6476}",0.6476,0.17488636363636362
"服務態度非常差!  感覺空服人員匆匆忙忙,不管旅客表情,身高不夠高放不到行李,空服人員不幫忙推,服務人員不會自動安排母親與小孩一起坐,這是我搭過最糟的了","Service attitude is very poor! I feel that the flight attendant is in a hurry, regardless of the passenger's expression, the height is not high enough to leave the luggage, the flight attendant does not help push, the service staff will not automatically arrange for the mother to sit with the child, this is the most I have ever taken Bad",0,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.8639}",-0.8639,-0.07571428571428569
设施有点陈旧,Facilities are a bit old,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.1
在本人信用卡內扣取.預售權,Deducted from my credit card.,0,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}",0.3818,0.0
聖誕打卡處  每一年都有不同的聖誕主題，今次剛好到香港公干，就去這裡打卡。周末的海港城人山人海，要拍照也難，但可以欣賞聖誕燈飾，還有欄桿上掛滿愛情鎖。,"Christmas time card office There are different Christmas themes every year. Just go to Hong Kong this time and go here to check in. It’s difficult to take photos at the weekend in the crowded city of Harbour City, but you can enjoy Christmas lights and love locks on the railings.",1,"{'neg': 0.029, 'neu': 0.802, 'pos': 0.169, 'compound': 0.8847}",0.8847,0.1
