review,Eng,vader_score,vader_compound,textblob_score
儲蓄保險回報低，年期長。,Savings insurance returns are low and the term is long.,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}",-0.2732,-0.025
消耗投保人的時間值。,Consume the time value of the policyholder.,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}",0.34,0.0
請問有什么價值,What's the value,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,0.0
沒有 ,No,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.296}",-0.29600000000000004,0.0
其實現時的儲蓄計劃最短只有3年的。所以不算太長丫,The minimum savings plan at the time of its realization is only 3 years. So it's not too long,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.025
可是3年後cut單，是虧損的。沒意思,But the cut order after 3 years is loss-making. Boring,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.6808}",-0.6808,-1.0
既然供滿了3年又為何要cut呢?唔再供，錢都係都路咁派。有需要嘅咪拎部份出嚟用籮。知必要整份cut,"Since the confession has been completed for 3 years, why should it be cut? Well, the confession, the money is all sent by the Luz. There is a need to use some part of the microphone. Know the whole cut","{'neg': 0.097, 'neu': 0.855, 'pos': 0.048, 'compound': -0.2732}",-0.2732,0.2
咁，點解唔放喺貨幣基金？唔需要接受短期虧損。流動性又強。,"Hey, why don’t you let go of money funds? No need to accept short-term losses. Liquidity is strong.","{'neg': 0.198, 'neu': 0.565, 'pos': 0.238, 'compound': 0.25}",0.25,0.4333333333333333
貨幣基金係低風險投資，理財保險係講緊保証回報嘅嘢。兩者有明顯嘅分別。如果你相信貨幣當然係買貨幣啦。,"Monetary funds are low-risk investments, and wealth management and insurance are all about guaranteeing returns. There is a clear difference between the two. If you believe in currency, of course, buy currency.","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7003}",0.7003,0.10000000000000002
但理財保險係想把錢滾錢。什至係傳承下一代。等到自己下一代有錢。同埋係講緊保証嘅嘢。,But the Department of Wealth Management wants to get the money back. Even the next generation. Wait until your next generation is rich. Pay close attention to the promise of guarantee.,"{'neg': 0.038, 'neu': 0.615, 'pos': 0.347, 'compound': 0.9331}",0.9331,0.115
貨幣基金高風險？？呵呵，你究竟識唔識？,"Is money fund high risk? ? Ha ha, do you know?","{'neg': 0.15, 'neu': 0.641, 'pos': 0.209, 'compound': 0.212}",0.212,0.16
請問你知唔知貨幣基金對接的是什麼資產？,Do you know what assets the money funds are docking with?,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.1779}",0.1779,0.0
貨幣基金高風險？？呵呵，你究竟識唔識？,"Is money fund high risk? ? Ha ha, do you know?","{'neg': 0.15, 'neu': 0.641, 'pos': 0.209, 'compound': 0.212}",0.212,0.16
請問你知唔知貨幣基金對接的是什麼資產？,Do you know what assets the money funds are docking with?,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.1779}",0.1779,0.0
唔好意思，我只係打錯咗高同低兩個字。,"Sorry, I only misspelled the words high and low.","{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.34}",-0.34,-0.08499999999999999
