review,label
"酒店不管是外观还是内部设施都已经落后了,提醒一下,酒店2007年装修,那只是10-14层,恐怕携程的客人是无缘入住了.",0
后来降价了网上 但是当天没给我们相应降价,0
"最好吃的是經濟艙  國泰航空公司是一個很好的。 這是英國的但非常擁擠的路上返程的航班要好很多,他們換了座位所以有更多的腿部空間&座位。 我相信這是第一次去的時候我只能說我非常喜歡這裏的飯菜。 他們很熱而且很好吃。 但是,他們不是很慷慨的提供飲料措施。",1
廁所熱水爐 冷熱水 經常失靈,0
"很棒！  我們去了我們在香港住過幾次因爲那裏的氛圍很棒。 有便宜貨和公平很多價格很合理的報價在他們的第一個實例。 有各種各樣的東西從紀念品,珍珠,玉器,油畫價格也很便宜。 附近有很多小餐館的路上都是相當基本的但是通過以合理的價格提供美味的食物和啤酒（一公升的啤酒20 hkd .）。 你坐在塑料凳子上但是完全沉浸在你周圍發生了什麼。 市場很容易找到,如果你離開ya ma tei火車站和180度打開出口出來你很快就會到達廟街,然後你可以回到地鐵佐敦站在另一端的市場只需走400米並左轉廟街的外面。",1
第2天我們的假期   這只是我們第2天的假期和我們離開7更多。 我不能給這家酒店和員工的讚美了客房送餐服務的食物和我是一個廚師在英格蘭不用擔心如果您沒有馬上就訂了前臺會幫助它們都很棒。 我們不得不吃的自助餐的口味和過去的經歷讓他們吃的不是很好但在這裏也就是絕對的美味！ 一個接待處的那位女士很突出但他們所有人都很棒。 我在221房間和它的去hooper先生。 不能等待下一次的7天。 如果你想找天堂的話那麼你在這裏會找到！,1
可能是一個最好的方式旅行歐洲和澳大利亞之間  國泰上做得很好坐長途飛機從澳大利亞到歐洲的。 是不是值得額外支付的費用經濟或出差。 這也是值得考慮的旅行打破在香港呆了一天左右的時間。,1
說好2點退房，但1點半執房呀姐姐自己開門入房，我住咁多間都未試過有這樣情況，我都未退房，點解要自己開門入黎，真係好奇怪。令人覺得好無安全感無私隱。,0
2008，7，19，长沙国贸惊魂夜。,0
好的服務和食物  這是一個17小時的航班是從紐瓦克機場到香港。 電影很好的和連續的零食和飲料以及麵條在飛機上可用。 它幾乎從香港回來早了一個小時。 因爲這家沒有做太多的好因爲它花了很長時間才把行李送過來的航班時間縮短了但是還是很不錯的。 我們經歷了一個醫療緊急情況導致我們早點回來。 但是他們很高的費用是我們在香港的停留非常有幫助降到最低。 網上登記拒絕在馬尼拉工作所以我的老婆不能得到她的蛋白在二月份的一頓免費晚餐回來但是我們仍然受到了好的位子。,1
"適合那些想要在夜間的香港街頭冒險的人。  我去過東南亞各地的街邊市場。不能說女人街是其中最好的,但是對於那些想要買便宜貨的人來說這是必去的地方。我去的時候是深夜,可能由於天氣的原因剛下過毛毛雨,在某個周四剛過10點半的晚上商店們好像都要關門了。周日晚上大概在同一時間段去了廟街,那裡還是很繁華,可能因為是周末的原因包,鞋,裙子,T恤選擇不多,足球運動衫,手錶,电子產品等,這些東西你在其它街頭都可以看的到,比如說曼谷。我注意到那裡缺乏紀念品,那些你能夠帶回家以提醒你來過香港的東西。我向那些想要買仿名牌貨的人或者是僅僅想要在夜間逛逛香港的人推薦女人街。",0
设备很简单,0
"很棒的夜市。  遊輪的廟街市場, 但是採光確保您與探索它的所有經驗的一部分。 您可以獲得一些有趣的事情和大排擋是非常好的。",1
